Gene	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34	Sample35	Sample36	Sample37	Sample38	Sample39	Sample40
BCL2L10	12.17	8.51	6.97	16.51	9.17	3.4	14.29	20.55	18.54	20.03	11.34	7.38	11.33	6.34	6.08	19.94	6.5	21.96	101.87	12.95	11.76	10.85	6.23	5.96	28.53	10.18	5.31	2.87	50.18	11.2	3.12	6.57	9.55	7.02	10.35	5.31	10.57	12.07	6.78	4.14
BCL2L2	197.39	234.98	198.06	212.74	159.51	145.07	211.54	146.13	192.18	118.62	138.03	297.76	176.07	91.23	133.69	179.45	173.4	240.32	131.73	259.07	212.92	119.35	158.81	182.16	167.88	139.53	130.91	168.13	138.81	132.78	53.08	279.87	220.92	246.74	153.93	211.22	264.27	193.1	115.24	83.48
BIRC2	650.32	1172.76	1015.41	729.93	748.04	1281.87	956.21	785.42	1175.01	1991.87	526.58	1343.63	494.23	505.56	785.74	803.53	1001.37	1540.76	730.64	1216.47	1379.44	1142.57	870.87	812.78	867.95	688.5	1165.81	1501.65	809.35	660.72	1230.26	1469.91	1895.58	1288.86	842.07	746.56	1754.74	1882.71	851.39	511.94
BIRC3	296.09	411.48	567.68	256.76	122.84	406.89	178.66	237.45	215.78	3570.89	101.16	270.69	170.92	263.55	396.82	744.71	1220.28	1135.74	108.89	341.51	348.78	485.74	418.31	252.38	583.75	150.74	776.62	640.9	269.07	441.55	2032.74	292.59	535.94	158.47	204.37	90.33	517.96	410.33	722.6	286.33
BOK	6.76	1.06	4.18	7.34	14.67	1.13	8.58	2.28	18.54	7.7	4.73	2.46	4.12	3.8	3.65	1.99	2.89	3.66	5.27	7.07	10.45	7.51	2.08	3.97	2.19	8.15	15.92	11.5	5.34	11.2	43.71	5.33	12.27	2.01	3.88	1.33	10.57	12.07	44.74	7.59
BRSK2	14.87	21.27	22.32	16.51	9.17	5.67	20.01	20.55	8.43	18.49	15.13	19.69	11.33	13.94	11.55	6.98	13	12.2	14.05	10.6	26.13	8.35	8.3	11.26	13.17	16.3	14.15	2.87	10.68	14.4	17.17	13.95	13.64	11.03	16.82	11.96	21.14	12.07	6.78	14.49
CASP2	1840.09	2014.86	1958.29	1857.84	2458.62	2398.27	2671.38	1175.85	1668.96	1303.27	1402.97	1944.08	2192.13	1122.63	1813.94	2105.53	2516.42	1595.65	2553.71	3390.33	949.67	2181.65	1245.58	2542.34	1801.74	1769.12	1539.08	1322.03	2454.76	780.7	891.47	3206.55	3707.97	1975.91	1042.56	2003.24	2008.43	2256.83	954.43	2426.53
CASP4	965.34	2368.92	1542.64	2353.02	1358.56	1483.62	1256.36	1020.59	1947.12	1677.61	1540.99	1574.95	3292.83	1383.64	1694.83	2170.33	1483.99	1655.43	2436.04	2765.02	1617.18	1327.02	1430.35	1497.72	1645.92	1627.55	2517.37	426.79	1850.41	1834.98	1501.92	4218.91	1738.75	2288.85	3579.11	2114.82	2568.68	2594.75	650.75	1300.54
CASP7	379.92	281.76	364.04	441.99	331.85	291.28	284.43	479.47	321.99	204.89	331.83	391.28	488.05	172.32	160.43	279.14	211.69	323.28	275.74	307.36	262.56	207.82	368.49	319.95	273.22	202.68	355.58	129.33	213.55	214.37	298.2	336.5	185.47	405.21	327.26	397.19	317.12	289.65	264.37	186.97
CFLAR	982.91	959.05	1032.15	1474.54	1354.9	856.85	1057.69	1792.32	1223.9	1642.18	588.98	1491.28	820.63	781.78	1136.98	1105.6	1096.74	1866.48	669.16	1287.13	698.86	1049.93	1282.95	1030.05	1915.85	1526.72	2641.2	2652.68	1318.67	2583.68	2369.97	1704.64	2706.99	1358.06	2109.7	1151.73	1860.44	1617.2	1335.38	947.98
CHEK2	277.16	294.52	382.17	618.06	625.2	317.35	317.31	228.32	230.96	331.21	501.06	280.54	352.14	314.23	328.76	282.13	288.27	348.9	435.57	382.72	211.62	340.52	230.43	531.26	298.46	320.82	268.9	438.28	496.5	257.57	121.78	407.08	411.84	439.31	309.15	482.21	443.97	518.95	193.87	278.05
CNR1	2.7	4.25	5.58	5.5	7.33	1.13	11.43	11.42	11.8	12.32	5.67	9.84	3.09	2.53	5.47	4.98	4.33	4.88	8.78	3.53	1.31	3.34	8.3	4.64	9.88	5.09	10.61	1.44	6.41	4.8	4.68	6.57	8.18	1	3.88	3.99	21.14	12.07	4.07	4.14
CREB1	740.9	720.88	637.42	883.99	911.21	738.98	844.72	876.75	1163.21	876.55	680.68	917.9	945.22	644.94	816.12	684.9	850.37	861.26	771.03	1308.32	880.44	833.77	675.73	967.79	839.42	727.2	1109.2	1139.53	902.25	609.53	839.95	1149.83	1352.82	1101.29	556.2	968.41	1553.89	1822.36	875.79	829.31
CUL4A	1330.38	1313.11	1534.27	1771.65	2134.1	1542.55	2458.41	2600.58	2542.21	1397.24	1966.42	2401.8	1959.43	1216.39	1237.85	1146.48	1252.07	2238.55	1717.69	2189.17	1647.23	1604.1	1491.59	2409.2	1930.12	1940.22	1687.68	3328.06	1682.77	833.5	1823.54	2319.36	2301.97	2679.01	1292.2	2102.87	2293.84	2655.1	1552.3	1673.11
CYP1B1	6.76	4.25	143.66	45.85	3.67	5.67	2.86	189.51	13.49	164.83	1.89	4.92	23.68	38.01	4.86	6.98	5.06	8.54	5.27	9.42	231.21	33.38	44.63	4.64	41.7	20.37	1197.65	148.01	52.32	150.38	113.97	22.57	35.46	39.12	1248.23	9.3	21.14	48.27	150.48	2.76
DAB2IP	6.76	6.38	66.95	5.5	34.83	13.6	5.72	6.85	25.29	24.65	10.4	36.91	9.27	13.94	1.22	5.98	1.44	19.52	1.76	18.84	9.14	7.51	34.25	21.86	9.88	1.02	24.77	45.98	4.27	8	31.22	12.72	10.91	18.05	7.76	13.28	190.27	277.58	32.54	4.83
